Time (s),System Output,ControllerOutput
4.810015,1.050250,0.006978
4.820015,1.050110,0.007006
4.830016,1.049970,0.007033
4.840016,1.049830,0.007063
4.850016,1.049691,0.007089
4.860016,1.049552,0.007117
4.870017,1.049413,0.007146
4.880017,1.049275,0.007175
4.890017,1.049137,0.007201
4.900017,1.048999,0.007231
4.910017,1.048861,0.007258
4.920018,1.048724,0.007288
4.930018,1.048587,0.007317
4.940018,1.048451,0.007344
4.950018,1.048314,0.007374
4.960019,1.048178,0.007401
4.970019,1.048043,0.007432
4.980019,1.047907,0.007459
4.990019,1.047773,0.007488
5.000020,1.047638,0.007518
5.010020,1.047503,0.007546
5.020020,1.047369,0.007575
5.030020,1.047236,0.007604
5.040020,1.047102,0.007632
5.050021,1.046969,0.007663
5.060021,1.046836,0.007691
5.070021,1.046704,0.007720
5.080021,1.046572,0.007749
5.090022,1.046440,0.007779
5.100022,1.046309,0.007807
5.110022,1.046177,0.007836
5.120022,1.046046,0.007866
5.130023,1.045916,0.007894
5.140023,1.045786,0.007925
5.150023,1.045656,0.007953
5.160023,1.045526,0.007983
5.170023,1.045397,0.008011
5.180024,1.045268,0.008042
5.190024,1.045139,0.008070
5.200024,1.045011,0.008101
5.210024,1.044883,0.008127
5.220025,1.044755,0.008159
5.230025,1.044628,0.008188
5.240025,1.044501,0.008217
5.250025,1.044374,0.008246
5.260026,1.044248,0.008275
5.270026,1.044122,0.008305
5.280026,1.043996,0.008334
5.290026,1.043870,0.008364
5.300026,1.043745,0.008391
5.310027,1.043620,0.008422
5.320027,1.043496,0.008450
5.330027,1.043372,0.008481
5.340027,1.043248,0.008510
5.350028,1.043124,0.008538
5.360028,1.043001,0.008569
5.370028,1.042878,0.008596
5.380028,1.042755,0.008627
5.390028,1.042633,0.008655
5.400029,1.042511,0.008684
5.410029,1.042390,0.008713
5.420029,1.042268,0.008743
5.430029,1.042147,0.008772
5.440030,1.042026,0.008801
5.450030,1.041906,0.008830
5.460030,1.041786,0.008858
5.470030,1.041666,0.008888
5.480031,1.041547,0.008916
5.490031,1.041427,0.008947
5.500031,1.041309,0.008974
5.510031,1.041190,0.009003
5.520031,1.041072,0.009033
5.530032,1.040954,0.009061
5.540032,1.040836,0.009091
5.550032,1.040719,0.009117
5.560032,1.040602,0.009148
5.570033,1.040486,0.009176
5.580033,1.040369,0.009205
5.590033,1.040253,0.009234
5.600033,1.040137,0.009260
5.610034,1.040022,0.009291
5.620034,1.039907,0.009319
5.630034,1.039792,0.009347
5.640034,1.039678,0.009376
5.650034,1.039563,0.009402
5.660035,1.039450,0.009433
5.670035,1.039336,0.009460
5.680035,1.039223,0.009488
5.690035,1.039110,0.009517
5.700036,1.038997,0.009545
5.710036,1.038885,0.009573
5.720036,1.038773,0.009601
5.730036,1.038661,0.009630
5.740036,1.038549,0.009657
5.750037,1.038438,0.009685
5.760037,1.038327,0.009713
5.770037,1.038217,0.009740
5.780037,1.038107,0.009769
5.790038,1.037997,0.009796
5.800038,1.037887,0.009825
5.810038,1.037778,0.009851
5.820038,1.037669,0.009880
5.830039,1.037560,0.009906
5.840039,1.037452,0.009935
5.850039,1.037343,0.009963
5.860039,1.037235,0.009988
5.870039,1.037128,0.010017
5.880040,1.037021,0.010044
5.890040,1.036914,0.010071
5.900040,1.036807,0.010099
5.910040,1.036701,0.010126
5.920041,1.036595,0.010153
5.930041,1.036489,0.010179
5.940041,1.036383,0.010207
5.950041,1.036278,0.010234
5.960042,1.036173,0.010260
5.970042,1.036068,0.010288
5.980042,1.035964,0.010314
5.990042,1.035860,0.010342
